"TOP các tỉnh, thành có mức thưởng trăm triệu đồng cho học sinh giỏi quốc tếHà Nội hiện tại đang có mức thưởng 20 triệu đồng cho học sinh giành huy chương vàng quốc tế Hiện tại thành phố đang đề xuất tăng lên  250 triệuẢnh: Vnexpress"
"Sân trường giờ ra chơi tại một trường THPT của Hà Nội Thay vì ngồi lướt điện thoại trong lớp như trước kia, các em đã ra ngoài chơi thể thao, tương tác, kết nối , trò chuyện Cùng chia sẻ hình ảnh trường lớp các em vào nhóm Học sinh Hà Nội  nha Các hình ảnh, clip dễ thương sẽ được lựa chọn để đưa lên page"
"Hôm nay 1/12, Hội thảo kinh tế, kinh doanh và quản lý FCBEM 2024 có chủ đề: “Exploring Synergies in Business, Operations, and Economics: Advancing Solutions for a Sustainable Society” đã diễn ra tại Greenwich Việt Nam CS Hà NộiGS Petros Ieromonachou (ĐH Greenwich, Anh quốc), GS Fang Lee Cooke (ĐH Monash, Australia), GS TS LéoPaul Dana (ĐH Dalhousie, Canada), GS TS Norbani Che Ha (ĐH Malaya, Malaysia) là 4 diễn giả của các phiên toàn thể Đây đều là những nhà nghiên c… Xem thêm"
"Ngày 11/7, Bộ Giáo dục và Đào tạo đã ban hành Kế hoạch thực hiện môn Lịch sử trong Chương trình giáo dục phổ thông 2018Bộ Giáo dục và Đào tạo sẽ chuyển môn Lịch sử là môn học bắt buộc trong chương trình giáo dục phổ thông 2018 Để kịp thời triển khai ngay trong năm học 20222023 ở lớp 10, Bộ Giáo dục và Đào tạo sẽ xây dựng, lựa chọn, điều chỉnh, thẩm định Chương trình Lịch sử cấp trung học phổ thông phần bắt buộc với thời lượng 52 tiết/năm học (lớp 10, lớp 11, lớp 12) để dạ… Xem thêm"
Đề thi HSG cấp quận môn Toán 9 năm học 20242025 của quận Hai Bà Trưng Các em làm thử nhé
"Điểm chuẩn vào lớp 10 các trường CHUYÊN năm học 2022  2023Điểm chuẩn các trường công lập, chiều nay sẽ công bố nhé các em Học sinh Hà Nội"
"Đại học Kinh tế Quốc dân lần đầu có 4 thủ khoa tốt nghiệp với điểm tuyệt đối 4/4, trong lịch sử gần 60 nămBốn sinh viên này gồm: Nguyễn Hoàng Dương (quê Thái Nguyên, tốt nghiệp chuyên ngành Kinh doanh quốc tế), Mai Xuân Bách (Hà Nội, Khoa học dữ liệu trong kinh tế và kinh doanh), Nguyễn Khánh Linh (Thái Bình, Kinh tế quốc tế) và Hoàng Mai Hương (Hà Nam, Kiểm toán)Vnexpress"
Top các trường THPT có điểm trung bình môn cao nhất trong kỳ thi tốt nghiệp THPT Quốc gia 2022 tại Hà Nội
DU HỌC ÚC NGAY TẠI VIỆT NAM  HỌC PHÍ CHỈ BẰNG 1/10 SO VỚI DU HỌC Điều kiện nhập học: Tốt nghiệp THPT 2k6 có thể xét tuyển với học bạ lớp 12 … Xem thêm
"Trường Đại học CMC công bố điểm chuẩn năm 2022Ngày 15/09, Hội đồng tuyển sinh Trường Đại học CMC công bố điểm trúng tuyển đợt 1 đối với phương thức xét tuyển dựa trên kết quả kỳ thi tốt nghiệp THPT"
Trường ĐH Kinh tế quốc dân vừa công bố điểm chuẩn trúng tuyển hệ đại học chính quy năm 2022 theo phương thức sử dụng điểm thi tốt nghiệp THPTẢnh: Vietnamnet
"Sáng nay (16/9), ĐH Hà Nội vừa công bố điểm trúng tuyển năm 2022, trong đó ngành ngôn ngữ Hàn Quốc có mức điểm cao nhất với 36,42/40"
Đề thi chọn Đội tuyển HSG lớp 9 môn KHTN  Vật Lý của trường THCS Cầu Giấy năm học 2024  2025
"Với 1590/1600 điểm SAT, Vân Hà trở thành thủ khoa đầu vào Đại học Kinh tế Quốc dân theo diện xét tuyển bằng chứng chỉ SAT/ACTĐỗ Thị Vân Hà, cựu học sinh lớp chuyên Tiếng Anh, trường THPT chuyên Nguyễn Trãi, Hải Dương, nhận tin hôm 2/8, hai ngày sau khi hết hạn đăng ký xét tuyển đại học SAT và ACT là bài thi đánh giá năng lực được sử dụng phổ biến trong tuyển sinh đầu vào đại học ở Mỹ và nhiều nước trên thế giớiHà đạt 1590/1600 SAT ngay trong lần thi đầu tiên hồi đầu t… Xem thêm"
"Trường Đại học Ngoại ngữ, Đại học Quốc gia Hà Nội vừa phê duyệt điểm chuẩn trúng tuyển các ngành đào tạo đại học chính quy đối với thí sinh xét tuyển theo kết quả thi tốt nghiệp THPT năm 2022"
"Thông tin từ Bộ GDĐT cho biết, theo kết quả chính thức từ cuộc thi Olympic Toán học quốc tế năm 2022 (IMO 2022) tổ chức tại Nauy, 6/6 học sinh Việt Nam đều đoạt giải, gồm: 2 Huy chương Vàng, 2 Huy chương Bạc, 2 Huy chương ĐồngCụ thể, 2 học sinh đoạt Huy chương Vàng là em Ngô Quý Đăng, học sinh lớp 12, Trường THPT chuyên Khoa học Tự nhiên, Đại học Quốc gia Hà Nội; em Phạm Việt Hưng, học sinh lớp 11, Trường THPT chuyên Khoa học Tự nhiện, Đại học Quốc gia Hà NộiHai em Phạm… Xem thêm"
"Đề khảo sát chất lượng môn Toán 9 năm học 2024 – 2025 trường THCS Đồng QuangĐề thi gồm 02 trang, hình thức tự luận với 05 bài toán, thời gian làm bài 90 phút, có đáp án chi tiết và hướng dẫn chấm điểm"
Trường Đại học Khoa học Xã hội và Nhân văn công bố điểm chuẩn phương thức xét tuyển chứng chỉ quốc tế kết hợp với điểm thi tốt nghiệp THPT
"Trường ĐH Ngoại ngữ  ĐH Quốc gia Hà Nội, vừa công bố điểm sàn các ngành đào tạo đại học hệ chính quy năm 2024Cụ thể, điểm sàn của Trường ĐH Ngoại ngữ  ĐH Quốc gia Hà Nội, năm 2024 đối với học sinh phổ thông ở khu vực 3 (chưa nhân hệ số môn Ngoại ngữ, đã bao gồm điểm ưu tiên khu vực và đối tượng nếu có) cho tất cả các tổ hợp xét tuyển gồm 3 môn thi/bài thi (không phân biệt tổ hợp xét tuyển) như sau:Theo Vietnamnet"
Học viện Tài chính vừa công bố điểm chuẩn tuyển sinh đại học chính quy năm 2024
"Không Chỉ Giúp Học Viên Đạt 70, 75, 80 IELTS, Các Thầy Cô Ở DOL Còn Mang Đến Cho Học Viên Nhiều Trải Nghiệm Đáng NhớTìm được một trung tâm tiếng Anh uy tín là điều không dễ dàng Tìm được một nơi có những giáo viên tận tâm và hết mình vì học trò lại càng khó khăn hơnSong, tại DOL English  IELTS Đình Lực, các em học sinh luôn được thầy cô hỗ trợ hết mình trong quá trình học Hơn thế nữa, thầy cô còn giúp các em rèn luyện tư duy, phát triển kỹ năng mềm phục vụ cho v… Xem thêm"
"OEA VIETNAM TẶNG XE SCOOTER ĐIỆN, MÁY ĐỌC SÁCH KINDLE, CHO HỌC VIÊN MỚI NHÂN DỊP SINH NHẬT 15 TUỔI Tháng 11/2024 là cột mốc đánh dấu hành trình 15 năm đầy ý nghĩa của Học viện Anh ngữ Oxford  OEA Vietnam với những đóng góp tích cực cho cộng đồng dạy và học tiếng Anh tại Việt Nam Chúng tôi tự hào với: 1500+ lớp học tiếng Anh OEA được khai giảng; 15000+ học viên thuộc mọi lứa tuổi và trình độ tham gia các khóa học tiếng Anh;… Xem thêm"
"Điểm chuẩn Đại học Giao thông vận tải cao nhất 26,45"
"Ngày 24/7, ông Nguyễn Huy Kỳ (SN 1940, Thanh Xuân, Hà Nội) cho biết ông đã vượt qua kỳ thi THPT Quốc gia 2022Cụ thể theo ông Kỳ cho biết, môn Toán ông đạt 3,6 điểm, Ngữ Văn đạt 4,75 điểm, Lịch sử đạt 6,5 điểm Điểm trung bình lớp 12 của ông Kỳ đạt 81, ông cũng có điểm ưu tiên 0,25 điểm Ngoài ra ông cũng có điểm cộng 1 điểm Điểm thi trung bình của thí sinh tuổi bát thập này đạt 6437 đủ điều kiện đỗ tốt nghiệpĐược biết ông Kỳ từng đi bộ đội khi chưa học xong THPT, sau … Xem thêm"
"ĐH Giao thông vận tải công bố điểm sàn 3 phương thức xét tuyểnCụ thể, ngưỡng đảm bảo chất lượng đầu vào (mức điểm tối thiểu của tổng điểm theo tổ hợp xét tuyển cộng điểm ưu tiên nếu có) các ngành đào tạo đại học hệ chính quy năm 2022 của Trường ĐH Giao thông vận tải như sau:Ảnh: Vietnamnet"
"ĐỘC LẠ  hai anh em sinh đôi Vũ Thế Hoàng Huy và Vũ Thế Hoàng Tiến (lớp 9A4 Trường THCS Hoàng Mai, quận Hoàng Mai, Hà Nội) có điểm thi tuyển sinh lớp 10  giống hệt nhau, với kết quả ấn tượng:  Ngữ văn 8,75; Ngoại ngữ 10; Toán 10; Tổng điểm xét tuyển vào lớp 10 công lập đạt 47,5; điểm môn chuyên 1 là 8Chúc mừng hai em và gia đìnhTheo Vietnamnet"
"Hà Nội: Trường mầm non Hoàng Liệt tổ chức bốc thăm suất tuyển sinh trẻ 3, 4 tuổiSáng 27/8, UBND phường Hoàng Liệt, Hoàng Mai đã tổ chức cho phụ huynh bốc thăm suất học cho trẻ 3 tuổi và 4 tuổi tại Trường Mầm non Hoàng Liệt năm học 20222023"
"CẢM ƠN THẦY CÔ THEO CÁCH CỦA BẠN, GỬI BAO KỈ NIỆM TRONG TYM !“Cảm ơn thầy cô  là cuộc thi viết online nhân dịp 20/11 do Tổ chức Giáo dục FPT cùng Thành Đoàn Hà Nội phối hợp tổ chức Cuộc thi dưới hình thức bài viết chia sẻ chân dung kèm ảnh để tri ân những thầy cô, những người làm giáo dục trên địa bàn thành phố, hướng tới môi trường giáo dục hạnh phúc Thể lệ cuộc thi: Sản phẩm dự thi gồm: 01 bản word bài viết và 01 ảnh minh hoạ… Xem thêm"
Danh sách các trường đại học có doanh thu từ 1000 tỷ trở lên năm 2023Trong top 10 có 6 trường đại học công lập và 4 trường tư thụcSố liệu: Vnexpress
"Điểm chuẩn Trường ĐH Sư phạm từ 22 đến 29,3 Đây là tổng điểm thi ba môn, đã gồm điểm ưu tiên (nếu có) Ngành Sư phạm ngữ văn và lịch sử có điểm chuẩn 29,3, cao nhất trong số các trường đã công bố"
Đề kiểm tra chọn đội tuyển HSG môn Hóa học của trường THPT Chuyên Hà Nội Amsterdam năm nayCác em làm thử xem sao nhé
"ĐH Khoa học Tự nhiên Hà Nội lấy điểm chuẩn đánh giá năng lực cao nhất 145Bốn ngành thuộc nhóm Toán, Công nghệ thông tin lấy 145/200 điểm (nhân đôi môn Toán), các ngành còn lại từ 80 đến 100/150Trường Đại học Khoa học Tự nhiên (HUS), Đại học Quốc gia Hà Nội, tối 8/7 thông báo điểm chuẩn với các phương thức xét tuyển sớm… Xem thêm"
Khi các bạn nữ sinh Hà Nội tổ chức ngày Quốc tế đàn ông 19/11 cho các bạn nam trong lớp vô cùng dễ thương  P/S: Cùng chia sẻ trong nhóm Học sinh Hà Nội nhé các em
Mùa của các hoạt động trải nghiệm đã bắt đầuLớp các em đã đi đâu chưa?
Các bạn 2k9 có còn nhớ không? Còn các em 2k10 có tự tin với đề Toán như này không các em?
"ĐH Ngoại thương công bố điểm trúng tuyển phương thức riêng: Điểm chuẩn cao nhất 30,5Các phương thức có điểm trúng tuyển gồm: phương thức 1 (xét học sinh giỏi quốc gia, học sinh giỏi tỉnh, học sinh chuyên); phương thức 2 (chứng chỉ ngoại ngữ quốc tế kết hợp với kết quả học bạ); phương thức 5 (điểm thi đánh giá năng lực của 2 Đại học Quốc gia)Theo Báo Tiền Phong"
"Bộ Công an xác minh người đưa tin lộ đề thi tốt nghiệp 2024Bộ Giáo dục khẳng định thông tin  lộ đề thi tốt nghiệp  là sai sự thật, cho biết Bộ Công an đang xác minh, sáng 26/6Theo Bộ Giáo dục và Đào tạo, đêm qua một số nhóm, diễn đàn chia sẻ thông tin lộ đề thi tốt nghiệp THPT 2024 Ngay khi nhận được phản ánh, Bộ đề nghị Bộ Công an hỗ trợ xác minh… Xem thêm"
Còn 06 ngày nữa tới Kỳ thi THPT Quốc gia 2024
Barem chấm điểm môn Toán và Ngữ văn kỳ thi tuyển sinh 10 năm học 2024  2025
Ngày đếm ngược cuối cùng trước Kỳ thi tốt nghiệp THPT Quốc gia 2024 Chúc các em 2k6 ngày mai thật BÌNH TĨNH  TỰ TIN  LÀM BÀI THẬT TỐT nhé
Học Hóa còn được khuyến mại thêm Tiếng Anh nữa
"Học viện Ngoại giao thông báo điểm trúng tuyển đối với hồ sơ đăng ký xét tuyển dựa trên kết quả Kỳ thi tốt nghiệp THPT năm 2022 (Mã phương thức xét tuyển 100) theo mục 85, phần II của Đề án tuyển sinh như sau:"
"Học sinh khối 1 háo hức tới trường, chào đón năm học mới Ảnh: Báo VOV"
"Điểm chuẩn Học viện Tài chính cao nhất 36,15Ngành Hải quan và Logistics của Học viện Tài chính (AOF) lấy điểm chuẩn 36,15 (thang 40), tức trung bình thí sinh phải đạt 9 điểm một môn mới đỗ"
Đề kiểm tra chọn đội tuyển học sinh giỏi môn Toán 9 vòng 2 năm học 2024 – 2025 của trường THCS Cầu GiấyCác em học sinh và phụ huynh tham khảo nhé
Diễn giả tham dự Livestream:  Chị Hà Kim meomeotalks  Founder Podcast “Những câu chuyện làm ngành”  Chị Bích Ngọc  đại diện Tuyển sinh FPT Arena
Những tác phẩm thú vị và ý nghĩa của các em học sinh Hà Nội trong ngày họp phụ huynh
"Trường Đại học Ngoại ngữ, Đại học Quốc gia Hà Nội ((ULIS) công bố điểm chuẩn năm 2024 đối với thí sinh xét tuyển theo kết quả thi tốt nghiệp THPT năm 2024 (mã phương thức xét tuyển: 100)"
"Những ngày cuối cùng đăng ký nguyện vọng theo quy định của Bộ GD&ĐT, quỹ học bổng “CMC  Vì bạn xứng đáng” luôn là điểm nóng với thí sinh và phụ huynh trên cả nước  Cụ thể, CMC tặng học bổng trị giá 50  100% học phí toàn khóa cho học sinh có điểm tổ hợp từ 25,00 theo tổ hợp xét tuyển Song song đó, CMC còn rất nhiều ưu đãi cho thí sinh đăng ký nguyện vọng 1 trên cổng xét tuyển chung của Bộ GD&ĐTChỉ còn 24h nữa sẽ kết thúc thời gian đăng ký nguyện vọng, các bạn học sinh nh… Xem thêm"
"Trường Đại học Kinh tế, Đại học Quốc gia Hà Nội (UEB) tối 17/8 công bố điểm chuẩn từ 33,1 đến 33,62, theo thang điểm 40"
"Đề thi chọn học sinh giỏi văn hóa môn Toán 9 năm học 2024 – 2025 phòng Giáo dục và Đào tạo huyện Ứng Hòa Đề thi gồm 01 trang, hình thức tự luận với 05 bài toán, thời gian làm bài 120 phút"
Đề thi môn Địa lý  Lịch sử kỳ thi tốt nghiệp THPT Quốc Gia
"Em Nguyễn Tuấn Anh (cựu học sinh lớp 9A, trường THPT chuyên Hà Nội  Amsterdam) là thủ khoa đầu vào lớp Tiếng Anh của trường THPT chuyên Sư phạm, với tổng điểm 34,4/40, trong đó môn chuyên được 8,2 điểm Ngoài Sư phạm, Tuấn Anh còn đỗ lớp chuyên Anh của trường THPT chuyên Ngoại ngữ và chuyên Toán ở trường Khoa học Tự nhiên Em từng được chọn vào đội tuyển của cả hai môn Toán và tiếng Anh, nhưng chọn thi Tiếng Anh và giành giải nhất thành phố năm học vừa quaTheo Vnexpress"
Bức ảnh tổng kết tình hình của ngày thi đầu tiên SIUUUUUUUUU!!!!Ảnh: Kiến Không Ngủ
Còn 10 ngày nữa tới Kỳ thi THPT Quốc gia 2024
"Sáng 19/7, ĐH Đại học Bách khoa Hà Nội đưa ra dự báo điểm chuẩn cho 64 chương trình đào tạo tuyển sinh năm 2024 Thấp nhất 20 điểm, cao nhất lên tới hơn 28 điểm"
"Cú đúp thủ khoa của nam sinh Thái Bình: Thủ khoa toàn quốc khối A00 THPT QG 2024 và Thủ khoa đánh giá tư duy tại ĐH Bách khoa năm 2024Vũ Đình Thái – học sinh L12 Trường THPT Tây Thuỵ Anh, Thái Bình đã trở thành thủ khoa toàn quốc khối A00 Kỳ thi THPT Quốc gia 2024 với tổng điểm 296, trong đó: Toán 9,6 ; Lý 10 ; Hoá 10Bên cạnh đó, nam sinh còn sở hữu loạt thành tích đáng nể: Học bổng 100% Trường ĐH FPT trong kỳ thi học bổng năm 2024 Học bổng 100% Trường ĐH FPT trong c… Xem thêm"
"Điểm chuẩn Học viện Ngoại giao (DAV) từ 25,37 29,2 cao nhất là ngành Trung Quốc học ở tổ hợp C00 (Văn, Sử, Địa)"
"Nguyễn Thế An và Trần Trung Hiếu là hai sinh viên đầu tiên tốt nghiệp Đại học Bách khoa Hà Nội với điểm tuyệt đối 4/4Thế An và Trung Hiếu cùng 22 tuổi An quê Bắc Ninh, là sinh viên ngành Khoa học dữ liệu và Trí tuệ nhân tạo Còn Hiếu ở Hà Nội, học ngành Kỹ thuật Điện tử Viễn thôngTheo Vnexpress"
"ĐH Kinh tế Quốc dân công bố điểm chuẩn một số phương thức, cao nhất 28,33 điểmCác thí sinh trúng tuyển theo phương thức này phải xác nhận nhập học trên hệ thống của Bộ GDĐT từ ngày 22/7  20/8Sau khi xác nhận nhập học, thí sinh phải nhập học theo hình thức trực tuyến trên hệ thống của Trường từ ngày 10/8 đến 20/8 Quá thời hạn này, thí sinh không thực hiện yêu cầu trên coi như từ chối nhập học… Xem thêm"
Lúc này tại trường quay Cùng cổ vũ cho chàng trai của Hà Nội nhé các bạn
"Chính thức công bố 18 đề minh họa kỳ thi tốt nghiệp THPT 2025So với những năm trước, đề tham khảo thi tốt nghiệp THPT năm 2025 được công bố sớm hơn gần 5 tháng, giúp nhà trường, giáo viên, học sinh chủ động trong quá trình dạy, học và ôn tậpLink download dưới comment nhé các em"
"Bạn Lương Minh Hiếu Ngọc, lớp 12 Hóa 1, trường THPT chuyên Hà Nội  Amsterdam, đạt điểm SAT tuyệt đối 1600/1600 trong đợt thi hôm 19/10 Theo College Board  tổ chức sở hữu bài thi, hàng năm có khoảng hai triệu học sinh trên thế giới thi SAT Số thí sinh đạt từ 1400 điểm trở lên chiếm 7% Từ mốc 1530 trở lên, người thi lọt top 1% cao nhất thế giớiTheo Vnexpress"
Đề kiểm tra giữa kỳ I môn Toán lớp 9 của trường THCS Mỹ Đình 2 Các bạn 2k10 lưu về làm thử nhé
"Danh sách 17 trường Đại học của Việt Nam vào trong bảng xếp hạng châu Á năm 2025  Theo Tổ chức xếp hạng QS (Quacquarelli Symonds – Anh)Hà Nội có 4 trường ĐH là Đại học Quốc gia Hà Nội, Đại học Bách khoa Hà Nội, Đại học Giao thông vận tải và Đại học Sư phạm Hà NộiQS là một trong ba tổ chức xếp hạng đại học nổi tiếng, bên cạnh Times Higher Education (THE) và Shanghai Academic Ranking of World Universities (ARWU)Dữ liệu từ"
"Hình ảnh  Lẵng hoa  đặc biệt trong lễ khai giảng trường Đại học Ngoại thương ngày hôm nay Đây là Lẵng hoa  Sẻ chia và trao gửi yêu thương  với thông tin tài khoản của Ban cứu trợ Trung ương  Mặt trận Tổ quốc Việt Nam để các đại biểu, thầy cô giáo cùng các em sinh viên có thể chủ động cùng góp sức, chung tay giúp đỡ đồng bào các địa phương chịu hậu quả nặng nề của thiên tai, lũ lụt cũng như các cá nhân/hộ gia đình có hoàn cảnh khó khăn nói chung Lẵng hoa này cũng được đặt… Xem thêm"
Các thí sinh 2k6 Hà Nội cười rạng rỡ sau khi 'trúng tủ' đề Văn thi tốt nghiệp THPT năm nay Ảnh: Vietnamnet
"Học viện Công nghệ Bưu chính Viễn thông (PTIT) công bố điểm chuẩn từ 18 đến 26,4, cao nhất là ngành Công nghệ thông tin"
"Đêm 5/9/2024 (giờ Việt Nam), Bộ Giáo dục Đào tạo nhận được thông tin về kết quả chính thức của Đội tuyển quốc gia Việt Nam dự thi Olympic Tin học quốc tế (IOI) năm 2024Theo đó, đội tuyển quốc gia Việt Nam gồm 4 học sinh dự thi, kết quả 4/4 học sinh đoạt Huy chương, gồm: 2 Huy chương Vàng, 1 Huy chương Bạc, 1 Huy chương Đồng Cụ thể như sau:Em Phạm Công Minh, học sinh lớp 12, Trường Trung học phổ thông Chuyên Khoa học tự nhiên, Trường Đại học Khoa học tự nhiên, Đại học Quố… Xem thêm"
"Học viện An ninh nhân dân, Trường ĐH An ninh nhân dân, Trường ĐH Cảnh sát nhân dân, Học viện Cảnh sát nhân dân và các trường công an khác đã công bố điểm chuẩn năm 2022[Theo Vietnamnet]"
Còn 09 ngày nữa tới Kỳ thi THPT Quốc gia 2024
Đáp án CHÍNH THỨC TỪ BỘ GD 14 môn thi trắc nghiệm kỳ thi tốt nghiệp THPT năm 2022
"Phụ huynh, học sinh Hà Nội rộn ràng trong ngày làm thủ tục nhập học vào lớp 10Hàng trăm phụ huynh, học sinh trúng tuyển vào lớp 10 Trường THPT Yên Hòa (quận Cầu Giấy, Hà Nội) đã có những thông tin bổ ích khi tham gia buổi tư vấn nhập học do nhà trường tổ chức trước khi các em làm thủ tục nhập họcẢnh: Báo Đại Đoàn Kết"
"Đề thi tốt nghiệp thpt quốc gia, môn Sinh Học"
